이름,실제,결과,방향,속성
,공이 밖으로 나감,공이 밖으로 나감,,
,win,win,,
,win,win,,
,공이 밖으로 나감,공이 밖으로 나감,,
,win,win,,
,벽 맞음,벽 맞음,,
공이 벽 부딪히지않고 타고 올라가서 골에 들어가는 경우,win,win,,
공이 벽 부딪히지않고 타고 올라가서 골에 들어가는 경우,win,win,,
벽맞고 골에 들어가는 경우,벽 맞음,벽 맞음,,
벽맞고 골에 들어가는 경우,벽 맞음,벽 맞음,,
,공이 밖으로 나감,공이 밖으로 나감,,
벽맞고 나가는 경우,공이 밖으로 나감,공이 밖으로 나감,,
,lose,lose,up,
,win,win,,
벽맞고 골,벽 맞음,벽 맞음,,
,벽 맞음,벽 맞음,,
,lose,lose,down,
벽 맞고 골,벽 맞음,벽 맞음,,
벽 맞고 골,벽 맞음,벽 맞음,,
,공이 밖으로 나감,공이 밖으로 나감,,
,lose,lose,straight,
,lose,lose,straight,
,win,win,,
,공이 밖으로 나감,공이 밖으로 나감,,
,공이 밖으로 나감,공이 밖으로 나감,,
,win,win,,
,lose,lose,down,
,lose,lose,down,
,lose,lose,down,
,벽 맞음,벽 맞음,,
,win,win,,
,lose,lose,straight,
공이 홀 컵을 돌다가 벽을 맞고 홀에 들어감,벽 맞음,벽 맞음,,
두 번 쳐서 홀 뒤로 넘김,공이 밖으로 나감,공이 밖으로 나감,,
,벽 맞음,벽 맞음,,
,win,win,,
,win,win,,
,lose,lose,,
,lose,lose,straight,
,win,win,,
,lose,lose,down,
,win,win,,
,벽 맞음,벽 맞음,,
,lose,lose,straight,
,lose,lose,down,
,lose,lose,straight,
,공이 밖으로 나감,공이 밖으로 나감,,
,벽 맞음,벽 맞음,,
,벽 맞음,벽 맞음,,
,공이 밖으로 나감,공이 밖으로 나감,,
,lose,lose,straight,
,lose,lose,down,
,lose,lose,up,
,벽 맞음,벽 맞음,,
,벽 맞음,벽 맞음,,
,win,win,,
,벽 맞음,벽 맞음,,
,win,win,,
,벽 맞음,벽 맞음,,
,벽 맞음,벽 맞음,,
,lose,lose,down,
,lose,lose,straight,
,lose,lose,straight,
,공이 밖으로 나감,공이 밖으로 나감,,
,lose,lose,up,
—,벽 맞음,win,,
,win,win,,
,공이 밖으로 나감,공이 밖으로 나감,,
,공이 밖으로 나감,공이 밖으로 나감,,
,벽 맞음,벽 맞음,,
,벽 맞음,벽 맞음,,
,공이 밖으로 나감,공이 밖으로 나감,,
,공이 밖으로 나감,공이 밖으로 나감,,
,벽 맞음,벽 맞음,,
,공이 밖으로 나감,공이 밖으로 나감,,
,공이 밖으로 나감,공이 밖으로 나감,,
,벽 맞음,벽 맞음,,
,win,win,,
,공이 밖으로 나감,공이 밖으로 나감,,
,win,win,,
,공이 밖으로 나감,공이 밖으로 나감,,
,공이 밖으로 나감,공이 밖으로 나감,,
,공이 밖으로 나감,공이 밖으로 나감,,
,벽 맞음,win,,
,공이 밖으로 나감,공이 밖으로 나감,,
,win,win,,
,공이 밖으로 나감,공이 밖으로 나감,,
,win,win,,
,공이 밖으로 나감,공이 밖으로 나감,,
,win,win,,
,win,win,,
,공이 밖으로 나감,공이 밖으로 나감,,
,공이 밖으로 나감,공이 밖으로 나감,,
,공이 밖으로 나감,공이 밖으로 나감,,
공이 홀을 타다가 벽을 맞고 홀 들어감,벽 맞음,win,,
,win,win,,
,win,win,,
,win,win,,
,win,win,,
,win,win,,
,win,win,,
,,,,