이름,뉴스,상위 회의,생성 일시,유형,이벤트 시간,제출상태,참석자,최종 편집 일시,최종 편집자,하위 회의
0220,,2월 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/2%E1%84%8B%E1%85%AF%E1%86%AF%20f81890e3b1844c4483f0629fe1d83851.csv),2024년 2월 20일 오후 7:59,회의,,Not started,,2024년 6월 4일 오전 8:57,J,
0222,,2월 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/2%E1%84%8B%E1%85%AF%E1%86%AF%20f81890e3b1844c4483f0629fe1d83851.csv),2024년 2월 22일 오후 8:00,,,Not started,,2024년 6월 4일 오전 8:57,J,
0225,,2월 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/2%E1%84%8B%E1%85%AF%E1%86%AF%20f81890e3b1844c4483f0629fe1d83851.csv),2024년 2월 25일 오후 6:01,,,Not started,,2024년 6월 4일 오전 8:57,J,
0226,,2월 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/2%E1%84%8B%E1%85%AF%E1%86%AF%20f81890e3b1844c4483f0629fe1d83851.csv),2024년 2월 26일 오후 4:16,,,Not started,,2024년 6월 4일 오전 8:57,J,
0228,,2월 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/2%E1%84%8B%E1%85%AF%E1%86%AF%20f81890e3b1844c4483f0629fe1d83851.csv),2024년 2월 28일 오후 8:02,,,Not started,,2024년 6월 4일 오전 8:57,J,
1차 주제 회의,,회의록 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%E1%84%85%E1%85%A9%E1%86%A8%200d5b349094f64032b74e23c0e6cc73db.csv),2024년 2월 7일 오후 8:09,회의,2024년 1월 9일,Not started,"Jisu지수 Ryu, J, 한예지, /임베디드시스템공학과 구민성",2024년 3월 2일 오후 2:02,Jisu지수 Ryu,
시각장애인을 위한 골프 서비스/tech-pioneers - 백업,,,2024년 3월 4일 오후 8:40,,,Done,,2024년 3월 30일 오후 3:22,Jisu지수 Ryu,
스마트 유도등,,,2024년 3월 2일 오후 2:03,,,반려,,2024년 3월 29일 오후 4:22,/임베디드시스템공학과 구민성,"스마트 유도등/tech-pioneers (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%89%E1%85%B3%E1%84%86%E1%85%A1%E1%84%90%E1%85%B3%20%E1%84%8B%E1%85%B2%E1%84%83%E1%85%A9%E1%84%83%E1%85%B3%E1%86%BC%20tech-pioneers%204cd3626d29754141bbf0936234602f1c.csv), 스마트 유도등-초안/tech-pioneers (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%89%E1%85%B3%E1%84%86%E1%85%A1%E1%84%90%E1%85%B3%20%E1%84%8B%E1%85%B2%E1%84%83%E1%85%A9%E1%84%83%E1%85%B3%E1%86%BC-%E1%84%8E%E1%85%A9%E1%84%8B%E1%85%A1%E1%86%AB%20tech-pioneers%206562bf201cbb4b7abee44a9245c13764.csv)"
퍼팅서포터/tech-pioneers,,,2024년 3월 10일 오전 1:36,,,Done,,2024년 5월 7일 오후 8:20,J,
사운드골핑/tech-pioneers -백업,,,2024년 3월 9일 오후 8:16,,,Done,,2024년 3월 30일 오후 3:22,Jisu지수 Ryu,"사운드골핑/tech-pioneers -백업 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%89%E1%85%A1%E1%84%8B%E1%85%AE%E1%86%AB%E1%84%83%E1%85%B3%E1%84%80%E1%85%A9%E1%86%AF%E1%84%91%E1%85%B5%E1%86%BC%20tech-pioneers%20-%E1%84%87%E1%85%A2%E1%86%A8%E1%84%8B%E1%85%A5%E1%86%B8%2003f407eba72542928fa5733657253cde.csv), 퍼팅서포터/tech-pioneers - 백업 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%91%E1%85%A5%E1%84%90%E1%85%B5%E1%86%BC%E1%84%89%E1%85%A5%E1%84%91%E1%85%A9%E1%84%90%E1%85%A5%20tech-pioneers%20-%20%E1%84%87%E1%85%A2%E1%86%A8%E1%84%8B%E1%85%A5%E1%86%B8%20b049da0e6f2845639b19e1e37bec013a.csv)"
퍼팅서포터/tech-pioneers - 백업,,사운드골핑/tech-pioneers -백업 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%89%E1%85%A1%E1%84%8B%E1%85%AE%E1%86%AB%E1%84%83%E1%85%B3%E1%84%80%E1%85%A9%E1%86%AF%E1%84%91%E1%85%B5%E1%86%BC%20tech-pioneers%20-%E1%84%87%E1%85%A2%E1%86%A8%E1%84%8B%E1%85%A5%E1%86%B8%208ace22f765394b899c17514a91567b95.csv),2024년 3월 5일 오후 3:19,,,Done,,2024년 3월 30일 오후 3:22,Jisu지수 Ryu,
사운드골핑/tech-pioneers -백업,,사운드골핑/tech-pioneers -백업 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%89%E1%85%A1%E1%84%8B%E1%85%AE%E1%86%AB%E1%84%83%E1%85%B3%E1%84%80%E1%85%A9%E1%86%AF%E1%84%91%E1%85%B5%E1%86%BC%20tech-pioneers%20-%E1%84%87%E1%85%A2%E1%86%A8%E1%84%8B%E1%85%A5%E1%86%B8%208ace22f765394b899c17514a91567b95.csv),2024년 3월 10일 오전 1:36,,,Done,,2024년 3월 30일 오후 3:22,Jisu지수 Ryu,
5월 1주차 보고서 (0428 - 0505),,보고서 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%87%E1%85%A9%E1%84%80%E1%85%A9%E1%84%89%E1%85%A5%209c25e4d462f14e948f847c6a43340790.csv),2024년 5월 4일 오전 11:51,,,Not started,,2024년 5월 5일 오후 10:13,J,
0303,,3월 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/3%E1%84%8B%E1%85%AF%E1%86%AF%2044735b2f30df420e8cbf10cea8d03ced.csv),2024년 3월 3일 오후 7:29,,,Not started,,2024년 5월 13일 오후 4:46,Jisu지수 Ryu,
0302,,3월 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/3%E1%84%8B%E1%85%AF%E1%86%AF%2044735b2f30df420e8cbf10cea8d03ced.csv),2024년 3월 2일 오후 2:00,,,Not started,,2024년 5월 13일 오후 4:46,Jisu지수 Ryu,
0301,,3월 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/3%E1%84%8B%E1%85%AF%E1%86%AF%2044735b2f30df420e8cbf10cea8d03ced.csv),2024년 3월 1일 오후 2:02,,,Not started,,2024년 5월 13일 오후 4:46,Jisu지수 Ryu,
아이드로퍼 보완점,,,2024년 2월 19일 오후 8:11,회의,,반려,,2024년 3월 30일 오후 3:22,Jisu지수 Ryu,
0304,,3월 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/3%E1%84%8B%E1%85%AF%E1%86%AF%2044735b2f30df420e8cbf10cea8d03ced.csv),2024년 3월 4일 오후 8:07,,,Not started,,2024년 5월 13일 오후 4:46,Jisu지수 Ryu,
0305 조교님 피드백,,3월 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/3%E1%84%8B%E1%85%AF%E1%86%AF%2044735b2f30df420e8cbf10cea8d03ced.csv),2024년 3월 5일 오후 1:55,,,Not started,,2024년 5월 13일 오후 4:46,Jisu지수 Ryu,
0307-0308,,3월 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/3%E1%84%8B%E1%85%AF%E1%86%AF%2044735b2f30df420e8cbf10cea8d03ced.csv),2024년 3월 7일 오후 7:34,,,Not started,,2024년 5월 13일 오후 4:46,Jisu지수 Ryu,
0309,,3월 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/3%E1%84%8B%E1%85%AF%E1%86%AF%2044735b2f30df420e8cbf10cea8d03ced.csv),2024년 3월 9일 오후 8:00,,,Not started,,2024년 5월 13일 오후 4:46,Jisu지수 Ryu,
0312,,3월 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/3%E1%84%8B%E1%85%AF%E1%86%AF%2044735b2f30df420e8cbf10cea8d03ced.csv),2024년 3월 12일 오후 7:23,,,Not started,,2024년 5월 13일 오후 4:46,Jisu지수 Ryu,
0416,,회의록 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%E1%84%85%E1%85%A9%E1%86%A8%200d5b349094f64032b74e23c0e6cc73db.csv),2024년 3월 18일 오후 6:46,,,Not started,,2024년 4월 17일 오전 3:18,한예지,
0501,,5월 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/5%E1%84%8B%E1%85%AF%E1%86%AF%20165e6d39028a4ac49db3079ac9ca14c8.csv),2024년 5월 1일 오전 10:16,,,Not started,,2024년 6월 4일 오전 8:57,J,
0504,,5월 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/5%E1%84%8B%E1%85%AF%E1%86%AF%20165e6d39028a4ac49db3079ac9ca14c8.csv),2024년 5월 4일 오후 7:57,,,Not started,,2024년 6월 4일 오전 8:57,J,
0509,,5월 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/5%E1%84%8B%E1%85%AF%E1%86%AF%20165e6d39028a4ac49db3079ac9ca14c8.csv),2024년 5월 9일 오후 6:20,,,Not started,,2024년 6월 4일 오전 8:57,J,
0506,,5월 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/5%E1%84%8B%E1%85%AF%E1%86%AF%20165e6d39028a4ac49db3079ac9ca14c8.csv),2024년 5월 6일 오후 1:02,,,Not started,,2024년 6월 4일 오전 8:57,J,
0511,,5월 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/5%E1%84%8B%E1%85%AF%E1%86%AF%20165e6d39028a4ac49db3079ac9ca14c8.csv),2024년 5월 11일 오후 1:15,,,Not started,,2024년 6월 4일 오전 8:57,J,
0513,,5월 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/5%E1%84%8B%E1%85%AF%E1%86%AF%20165e6d39028a4ac49db3079ac9ca14c8.csv),2024년 5월 13일 오후 2:08,,,Not started,,2024년 6월 4일 오전 8:57,J,
3월,,회의록 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%E1%84%85%E1%85%A9%E1%86%A8%200d5b349094f64032b74e23c0e6cc73db.csv),2024년 5월 13일 오후 4:45,,,Not started,,2024년 5월 13일 오후 4:46,Jisu지수 Ryu,"0301 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/0301%20744e283116d04ec2a5377b5d592d5535.csv), 0302 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/0302%201ed0c3b6cf7142cf96718619f86f86e6.csv), 0303 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/0303%206d128ea094af489d88bb19788459849f.csv), 0318 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/0318%20cfd56674e8f545929e661d02aa97aa12.csv), 0312 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/0312%2006dbd3a51c7946c6bfb98e9b88364bfe.csv), 0309 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/0309%20db8596d2079c46f6a7f2a21a8cb79beb.csv), 0307-0308 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/0307-0308%20eacf07bade6d4e9b871d795d5f78b5a7.csv), 0305 조교님 피드백 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/0305%20%E1%84%8C%E1%85%A9%E1%84%80%E1%85%AD%E1%84%82%E1%85%B5%E1%86%B7%20%E1%84%91%E1%85%B5%E1%84%83%E1%85%B3%E1%84%87%E1%85%A2%E1%86%A8%20c9d2918d800244939034f1264177438d.csv), 0304 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/0304%20397aaa85c6ad4d4694f9de7c4b3fe173.csv)"
2월,,회의록 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%E1%84%85%E1%85%A9%E1%86%A8%200d5b349094f64032b74e23c0e6cc73db.csv),2024년 5월 13일 오후 4:45,,,Not started,,2024년 6월 4일 오전 8:57,J,"0228 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/0228%2099b8df25786847fbac862c3863f4c1ed.csv), 0226 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/0226%2048752b7b8f3d424ca765f7badda237f3.csv), 0225 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/0225%20aadd13fce4094529ad31328dbf17b8ba.csv), 0222 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/0222%20ebfa3ad12be24ee3bffc74e3657c5432.csv), 0220 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/0220%200fd8c555a52b4fe494aa5ab4664d4efe.csv)"
0318,,3월 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/3%E1%84%8B%E1%85%AF%E1%86%AF%2044735b2f30df420e8cbf10cea8d03ced.csv),2024년 3월 18일 오후 6:22,,,Not started,,2024년 5월 13일 오후 4:46,Jisu지수 Ryu,
0514,,5월 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/5%E1%84%8B%E1%85%AF%E1%86%AF%20165e6d39028a4ac49db3079ac9ca14c8.csv),2024년 5월 14일 오후 5:48,,,Not started,,2024년 6월 4일 오전 8:57,J,
0518,,5월 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/5%E1%84%8B%E1%85%AF%E1%86%AF%20165e6d39028a4ac49db3079ac9ca14c8.csv),2024년 5월 18일 오후 1:08,,,Not started,,2024년 6월 4일 오전 8:57,J,
0520,,5월 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/5%E1%84%8B%E1%85%AF%E1%86%AF%20165e6d39028a4ac49db3079ac9ca14c8.csv),2024년 5월 20일 오후 5:58,,,Not started,,2024년 6월 4일 오전 8:57,J,
할일,,0523 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/0523%2058001626dcb74704a54673a487f74aeb.csv),2024년 5월 23일 오후 9:05,,,Not started,,2024년 6월 4일 오전 8:56,J,
0523,,5월 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/5%E1%84%8B%E1%85%AF%E1%86%AF%20165e6d39028a4ac49db3079ac9ca14c8.csv),2024년 5월 23일 오후 6:48,,,Not started,,2024년 6월 4일 오전 8:57,J,할일 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%92%E1%85%A1%E1%86%AF%E1%84%8B%E1%85%B5%E1%86%AF%2012ff8f2b2bca4c4ca2871e2fe87ef73f.csv)
0524,,5월 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/5%E1%84%8B%E1%85%AF%E1%86%AF%20165e6d39028a4ac49db3079ac9ca14c8.csv),2024년 5월 24일 오후 5:01,,,Not started,,2024년 6월 4일 오전 8:57,J,
0527,,5월 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/5%E1%84%8B%E1%85%AF%E1%86%AF%20165e6d39028a4ac49db3079ac9ca14c8.csv),2024년 5월 26일 오후 7:59,,,Not started,,2024년 6월 4일 오전 8:57,J,
