이름,뉴스,상위 회의,생성 일시,유형,이벤트 시간,제출상태,참석자,최종 편집 일시,최종 편집자,하위 회의
사용자 테스트,,,2024년 5월 24일 오후 7:48,,,Not started,,2024년 6월 7일 오후 5:22,J,"1차 테스트 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/1%E1%84%8E%E1%85%A1%20%E1%84%90%E1%85%A6%E1%84%89%E1%85%B3%E1%84%90%E1%85%B3%205ac5e508bcc243a1a8e15771c5b62996.csv), 1차 테스트 기반 진행할 것 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/1%E1%84%8E%E1%85%A1%20%E1%84%90%E1%85%A6%E1%84%89%E1%85%B3%E1%84%90%E1%85%B3%20%E1%84%80%E1%85%B5%E1%84%87%E1%85%A1%E1%86%AB%20%E1%84%8C%E1%85%B5%E1%86%AB%E1%84%92%E1%85%A2%E1%86%BC%E1%84%92%E1%85%A1%E1%86%AF%20%E1%84%80%E1%85%A5%E1%86%BA%20c47489f747824ec59aceb7953fa571d3.csv), 2차 테스트 준비 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/2%E1%84%8E%E1%85%A1%20%E1%84%90%E1%85%A6%E1%84%89%E1%85%B3%E1%84%90%E1%85%B3%20%E1%84%8C%E1%85%AE%E1%86%AB%E1%84%87%E1%85%B5%207d7bb92af8f8426a8118a336a4ea9cdf.csv), 2차 테스트 인터뷰 기록지 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/2%E1%84%8E%E1%85%A1%20%E1%84%90%E1%85%A6%E1%84%89%E1%85%B3%E1%84%90%E1%85%B3%20%E1%84%8B%E1%85%B5%E1%86%AB%E1%84%90%E1%85%A5%E1%84%87%E1%85%B2%20%E1%84%80%E1%85%B5%E1%84%85%E1%85%A9%E1%86%A8%E1%84%8C%E1%85%B5%202040d6c98c874ad48f2cc443cbaf2431.csv), 2차 테스트 결과 기록 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/2%E1%84%8E%E1%85%A1%20%E1%84%90%E1%85%A6%E1%84%89%E1%85%B3%E1%84%90%E1%85%B3%20%E1%84%80%E1%85%A7%E1%86%AF%E1%84%80%E1%85%AA%20%E1%84%80%E1%85%B5%E1%84%85%E1%85%A9%E1%86%A8%2037a0d13f5d3a4f8298abfe92dfc4b669.csv), 비프음 소스 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%87%E1%85%B5%E1%84%91%E1%85%B3%E1%84%8B%E1%85%B3%E1%86%B7%20%E1%84%89%E1%85%A9%E1%84%89%E1%85%B3%203efa5b72f28549bfa153bafc1d251203.csv)"
lose 거리,,,2024년 6월 13일 오후 4:24,,,Not started,,2024년 6월 13일 오후 5:37,한예지,
비프음 소스,,사용자 테스트 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%89%E1%85%A1%E1%84%8B%E1%85%AD%E1%86%BC%E1%84%8C%E1%85%A1%20%E1%84%90%E1%85%A6%E1%84%89%E1%85%B3%E1%84%90%E1%85%B3%20d58de21729c746abbb060d881043551d.csv),2024년 6월 7일 오후 5:22,,,Not started,,2024년 6월 7일 오후 5:30,J,
2차 테스트 결과 기록,,사용자 테스트 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%89%E1%85%A1%E1%84%8B%E1%85%AD%E1%86%BC%E1%84%8C%E1%85%A1%20%E1%84%90%E1%85%A6%E1%84%89%E1%85%B3%E1%84%90%E1%85%B3%20d58de21729c746abbb060d881043551d.csv),2024년 6월 7일 오후 4:38,,,Not started,,2024년 6월 7일 오후 6:47,J,
2차 테스트 인터뷰 기록지,,사용자 테스트 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%89%E1%85%A1%E1%84%8B%E1%85%AD%E1%86%BC%E1%84%8C%E1%85%A1%20%E1%84%90%E1%85%A6%E1%84%89%E1%85%B3%E1%84%90%E1%85%B3%20d58de21729c746abbb060d881043551d.csv),2024년 6월 7일 오후 4:37,,,Not started,,2024년 6월 13일 오후 4:24,한예지,
2차 테스트 준비,,사용자 테스트 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%89%E1%85%A1%E1%84%8B%E1%85%AD%E1%86%BC%E1%84%8C%E1%85%A1%20%E1%84%90%E1%85%A6%E1%84%89%E1%85%B3%E1%84%90%E1%85%B3%20d58de21729c746abbb060d881043551d.csv),2024년 6월 1일 오후 3:13,,,Not started,,2024년 6월 7일 오후 7:31,J,
1차 테스트 기반 진행할 것,,사용자 테스트 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%89%E1%85%A1%E1%84%8B%E1%85%AD%E1%86%BC%E1%84%8C%E1%85%A1%20%E1%84%90%E1%85%A6%E1%84%89%E1%85%B3%E1%84%90%E1%85%B3%20d58de21729c746abbb060d881043551d.csv),2024년 5월 26일 오후 8:01,,,Not started,,2024년 5월 26일 오후 8:18,J,
1차 테스트,,사용자 테스트 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%89%E1%85%A1%E1%84%8B%E1%85%AD%E1%86%BC%E1%84%8C%E1%85%A1%20%E1%84%90%E1%85%A6%E1%84%89%E1%85%B3%E1%84%90%E1%85%B3%20d58de21729c746abbb060d881043551d.csv),2024년 5월 24일 오후 7:48,,2024년 5월 25일 오전 10:00 (GMT+9),Not started,,2024년 6월 8일 오후 1:38,J,
5월 2주차 보고서(0506 - 0512),,보고서 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%87%E1%85%A9%E1%84%80%E1%85%A9%E1%84%89%E1%85%A5%209c25e4d462f14e948f847c6a43340790.csv),2024년 5월 11일 오후 1:51,,,Not started,,2024년 5월 11일 오후 10:47,J,
4월 1주차 보고서 (0401 - 0407),,보고서 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%87%E1%85%A9%E1%84%80%E1%85%A9%E1%84%89%E1%85%A5%209c25e4d462f14e948f847c6a43340790.csv),2024년 4월 5일 오후 7:49,,,Not started,,2024년 4월 8일 오전 1:23,한예지,
3월 4주차 보고서 (0325 - 0331),,보고서 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%87%E1%85%A9%E1%84%80%E1%85%A9%E1%84%89%E1%85%A5%209c25e4d462f14e948f847c6a43340790.csv),2024년 3월 27일 오후 9:49,,,Not started,,2024년 4월 1일 오후 6:09,J,
3월 3주차 보고서 (0318 - 0324),,보고서 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%87%E1%85%A9%E1%84%80%E1%85%A9%E1%84%89%E1%85%A5%209c25e4d462f14e948f847c6a43340790.csv),2024년 3월 23일 오후 3:48,,,Not started,,2024년 3월 27일 오후 9:49,J,
보이스레일/tech-pioneers,,,2024년 2월 27일 오후 8:20,,,반려,,2024년 3월 4일 오후 10:42,Jisu지수 Ryu,보이스레일0227/tech-pioneers - 백업 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%87%E1%85%A9%E1%84%8B%E1%85%B5%E1%84%89%E1%85%B3%E1%84%85%E1%85%A6%E1%84%8B%E1%85%B5%E1%86%AF0227%20tech-pioneers%20-%20%E1%84%87%E1%85%A2%E1%86%A8%E1%84%8B%E1%85%A5%E1%86%B8%206fd378cc174a40a0b38d2aa7f04a6022.csv)
보이스레일0227/tech-pioneers - 백업,,보이스레일/tech-pioneers (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%87%E1%85%A9%E1%84%8B%E1%85%B5%E1%84%89%E1%85%B3%E1%84%85%E1%85%A6%E1%84%8B%E1%85%B5%E1%86%AF%20tech-pioneers%200214b033715d4958b7b17b0b3d2505a6.csv),2024년 2월 28일 오후 8:50,,,반려,,2024년 3월 4일 오후 10:42,Jisu지수 Ryu,
"안전한 야간 주행을 위한 자전거, 킥보드 시스템/tech-pioneers",,장애물 알림장치 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%8C%E1%85%A1%E1%86%BC%E1%84%8B%E1%85%A2%E1%84%86%E1%85%AE%E1%86%AF%20%E1%84%8B%E1%85%A1%E1%86%AF%E1%84%85%E1%85%B5%E1%86%B7%E1%84%8C%E1%85%A1%E1%86%BC%E1%84%8E%E1%85%B5%20b9df15762f78490d923a2fc0dfd786b4.csv),2024년 3월 2일 오후 2:33,,,반려,,2024년 3월 4일 오후 10:42,Jisu지수 Ryu,
장애물 알림 장치/tech-pioneers -백업,,장애물 알림장치 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%8C%E1%85%A1%E1%86%BC%E1%84%8B%E1%85%A2%E1%84%86%E1%85%AE%E1%86%AF%20%E1%84%8B%E1%85%A1%E1%86%AF%E1%84%85%E1%85%B5%E1%86%B7%E1%84%8C%E1%85%A1%E1%86%BC%E1%84%8E%E1%85%B5%20b9df15762f78490d923a2fc0dfd786b4.csv),2024년 2월 23일 오후 4:20,,,반려,,2024년 3월 4일 오후 10:42,Jisu지수 Ryu,
안전한 자전거 주행을 위한 시스템 - 초안,,장애물 알림장치 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%8C%E1%85%A1%E1%86%BC%E1%84%8B%E1%85%A2%E1%84%86%E1%85%AE%E1%86%AF%20%E1%84%8B%E1%85%A1%E1%86%AF%E1%84%85%E1%85%B5%E1%86%B7%E1%84%8C%E1%85%A1%E1%86%BC%E1%84%8E%E1%85%B5%20b9df15762f78490d923a2fc0dfd786b4.csv),2024년 2월 20일 오후 8:21,,,반려,,2024년 3월 4일 오후 10:42,Jisu지수 Ryu,
고양이전용TV/tech-pioneers,,,2024년 2월 16일 오후 8:22,기획서,,Done,,2024년 2월 19일 오후 5:13,Jisu지수 Ryu,
아이드로퍼/tech-pioneers - 초안,,,2024년 2월 18일 오전 4:26,기획서,,Done,,2024년 2월 27일 오후 8:21,Jisu지수 Ryu,
보이스레일,,,2024년 3월 2일 오후 2:02,,,반려,,2024년 3월 2일 오후 2:02,Jisu지수 Ryu,"보이스레일/tech-pioneers - 백업 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%87%E1%85%A9%E1%84%8B%E1%85%B5%E1%84%89%E1%85%B3%E1%84%85%E1%85%A6%E1%84%8B%E1%85%B5%E1%86%AF%20tech-pioneers%20-%20%E1%84%87%E1%85%A2%E1%86%A8%E1%84%8B%E1%85%A5%E1%86%B8%203235ede7ed0141bab777dbcda0991f65.csv), 보이스레일/tech-pioneers (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%87%E1%85%A9%E1%84%8B%E1%85%B5%E1%84%89%E1%85%B3%E1%84%85%E1%85%A6%E1%84%8B%E1%85%B5%E1%86%AF%20tech-pioneers%2005312c6e43384613b9d5dd095cb82b0e.csv), 보이스레일/기초 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%87%E1%85%A9%E1%84%8B%E1%85%B5%E1%84%89%E1%85%B3%E1%84%85%E1%85%A6%E1%84%8B%E1%85%B5%E1%86%AF%20%E1%84%80%E1%85%B5%E1%84%8E%E1%85%A9%200f8839e483804e3da3f636ba14e1bb05.csv)"
보이스레일/기초,,보이스레일 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%87%E1%85%A9%E1%84%8B%E1%85%B5%E1%84%89%E1%85%B3%E1%84%85%E1%85%A6%E1%84%8B%E1%85%B5%E1%86%AF%208489cb583432446d9c84881cee044a5c.csv),2024년 2월 7일 오후 8:09,기획서,,반려,,2024년 3월 2일 오후 2:02,Jisu지수 Ryu,
보이스레일/tech-pioneers,,보이스레일 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%87%E1%85%A9%E1%84%8B%E1%85%B5%E1%84%89%E1%85%B3%E1%84%85%E1%85%A6%E1%84%8B%E1%85%B5%E1%86%AF%208489cb583432446d9c84881cee044a5c.csv),2024년 2월 7일 오후 8:12,기획서,,반려,,2024년 3월 2일 오후 2:02,Jisu지수 Ryu,
스마트 유도등-초안/tech-pioneers,,스마트 유도등 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%89%E1%85%B3%E1%84%86%E1%85%A1%E1%84%90%E1%85%B3%20%E1%84%8B%E1%85%B2%E1%84%83%E1%85%A9%E1%84%83%E1%85%B3%E1%86%BC%20f390da151d5540b59fc3340eea1d3179.csv),2024년 2월 16일 오후 9:46,기획서,,반려,,2024년 3월 29일 오후 4:22,/임베디드시스템공학과 구민성,
스마트 유도등/tech-pioneers,,스마트 유도등 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%89%E1%85%B3%E1%84%86%E1%85%A1%E1%84%90%E1%85%B3%20%E1%84%8B%E1%85%B2%E1%84%83%E1%85%A9%E1%84%83%E1%85%B3%E1%86%BC%20f390da151d5540b59fc3340eea1d3179.csv),2024년 2월 19일 오후 1:23,기획서,,반려,,2024년 3월 29일 오후 4:22,/임베디드시스템공학과 구민성,
보이스레일/tech-pioneers - 백업,,보이스레일 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%87%E1%85%A9%E1%84%8B%E1%85%B5%E1%84%89%E1%85%B3%E1%84%85%E1%85%A6%E1%84%8B%E1%85%B5%E1%86%AF%208489cb583432446d9c84881cee044a5c.csv),2024년 2월 27일 오후 8:19,기획서,,반려,,2024년 3월 2일 오후 2:02,Jisu지수 Ryu,
잔소리탐지기,,,2024년 3월 2일 오후 2:02,,,반려,,2024년 3월 2일 오후 2:02,Jisu지수 Ryu,"잔소리 탐지기/tech-pioneers  (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%8C%E1%85%A1%E1%86%AB%E1%84%89%E1%85%A9%E1%84%85%E1%85%B5%20%E1%84%90%E1%85%A1%E1%86%B7%E1%84%8C%E1%85%B5%E1%84%80%E1%85%B5%20tech-pioneers%20f196ba6016b749bd8996648bc92692b9.csv), 잔소리 탐지기/tech-pioneers - 초안 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%8C%E1%85%A1%E1%86%AB%E1%84%89%E1%85%A9%E1%84%85%E1%85%B5%20%E1%84%90%E1%85%A1%E1%86%B7%E1%84%8C%E1%85%B5%E1%84%80%E1%85%B5%20tech-pioneers%20-%20%E1%84%8E%E1%85%A9%E1%84%8B%E1%85%A1%E1%86%AB%2052ce043d8159436c8437c29437314f06.csv)"
장애물 알림장치,,,2024년 3월 2일 오후 2:05,,,반려,,2024년 3월 4일 오후 10:42,Jisu지수 Ryu,"안전한 자전거 주행을 위한 시스템 - 초안 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%8B%E1%85%A1%E1%86%AB%E1%84%8C%E1%85%A5%E1%86%AB%E1%84%92%E1%85%A1%E1%86%AB%20%E1%84%8C%E1%85%A1%E1%84%8C%E1%85%A5%E1%86%AB%E1%84%80%E1%85%A5%20%E1%84%8C%E1%85%AE%E1%84%92%E1%85%A2%E1%86%BC%E1%84%8B%E1%85%B3%E1%86%AF%20%E1%84%8B%E1%85%B1%E1%84%92%E1%85%A1%E1%86%AB%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%20-%20%E1%84%8E%E1%85%A9%E1%84%8B%E1%85%A1%E1%86%AB%20263b60980f72457896236b9bd4f10d2f.csv), 장애물 알림 장치/tech-pioneers -백업 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%8C%E1%85%A1%E1%86%BC%E1%84%8B%E1%85%A2%E1%84%86%E1%85%AE%E1%86%AF%20%E1%84%8B%E1%85%A1%E1%86%AF%E1%84%85%E1%85%B5%E1%86%B7%20%E1%84%8C%E1%85%A1%E1%86%BC%E1%84%8E%E1%85%B5%20tech-pioneers%20-%E1%84%87%E1%85%A2%E1%86%A8%E1%84%8B%E1%85%A5%E1%86%B8%201ef73c383acd4c349e943bc3227aca97.csv), 안전한 야간 주행을 위한 자전거, 킥보드 시스템/tech-pioneers (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%8B%E1%85%A1%E1%86%AB%E1%84%8C%E1%85%A5%E1%86%AB%E1%84%92%E1%85%A1%E1%86%AB%20%E1%84%8B%E1%85%A3%E1%84%80%E1%85%A1%E1%86%AB%20%E1%84%8C%E1%85%AE%E1%84%92%E1%85%A2%E1%86%BC%E1%84%8B%E1%85%B3%E1%86%AF%20%E1%84%8B%E1%85%B1%E1%84%92%E1%85%A1%E1%86%AB%20%E1%84%8C%E1%85%A1%E1%84%8C%E1%85%A5%E1%86%AB%E1%84%80%E1%85%A5,%20%E1%84%8F%E1%85%B5%E1%86%A8%E1%84%87%E1%85%A9%E1%84%83%E1%85%B3%20%E1%84%89%E1%85%B5%2022b0317ebf4341bcbfc25ceb85008005.csv)"
잔소리 탐지기/tech-pioneers - 초안,,잔소리탐지기 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%8C%E1%85%A1%E1%86%AB%E1%84%89%E1%85%A9%E1%84%85%E1%85%B5%E1%84%90%E1%85%A1%E1%86%B7%E1%84%8C%E1%85%B5%E1%84%80%E1%85%B5%20e1430c7f608e45f2a462c20b6f899330.csv),2024년 2월 16일 오후 8:22,기획서,,반려,,2024년 3월 2일 오후 2:02,Jisu지수 Ryu,
"잔소리 탐지기/tech-pioneers ",,잔소리탐지기 (%E1%84%92%E1%85%AC%E1%84%8B%E1%85%B4%2065b6669985b74333b8895a64d8b27057/%E1%84%8C%E1%85%A1%E1%86%AB%E1%84%89%E1%85%A9%E1%84%85%E1%85%B5%E1%84%90%E1%85%A1%E1%86%B7%E1%84%8C%E1%85%B5%E1%84%80%E1%85%B5%20e1430c7f608e45f2a462c20b6f899330.csv),2024년 2월 18일 오후 1:42,기획서,,반려,,2024년 3월 2일 오후 2:02,Jisu지수 Ryu,